comp,units,games,avg_place,top4_rate,win_rate,stability_score,estimated_level,estimated_gold,play_style,economy_type
Bard+Galio+Karma+Lissandra+Poppy+Rammus+Sona+Veigar,"Bard,Galio,Karma,Lissandra,Poppy,Rammus,Sona,Veigar",50,3.82,62.0,8.0,118.3,7.5,25,Level7 Roll,Standard
Bard+Corki+Fizz+Galio+Gnar+Jhin+Poppy+Rammus,"Bard,Corki,Fizz,Galio,Gnar,Jhin,Poppy,Rammus",30,3.87,66.67,13.33,117.83,7.5,25,Level7 Roll,Standard
AurelionSol+Blitzcrank+Illaoi+Karma+Mordekaiser+Morgana+Nunu+Sona,"AurelionSol,Blitzcrank,Illaoi,Karma,Mordekaiser,Morgana,Nunu,Sona",27,3.78,66.67,7.41,117.38,7.5,25,Level7 Roll,Standard
Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+RekSai+TahmKench+Urgot,"Belveth,Fiora,Gragas,Kindred,Maokai,MasterYi,RekSai,TahmKench,Urgot",72,4.06,65.28,2.78,116.63,7.5,25,Level7 Roll,Standard
Bard+Blitzcrank+Graves+Illaoi+Karma+Mordekaiser+Nunu+Sona,"Bard,Blitzcrank,Graves,Illaoi,Karma,Mordekaiser,Nunu,Sona",24,3.88,66.67,12.5,116.52,7.5,25,Level7 Roll,Standard
Belveth+Fiora+Gragas+Graves+Kindred+Maokai+MasterYi+TahmKench+Urgot,"Belveth,Fiora,Gragas,Graves,Kindred,Maokai,MasterYi,TahmKench,Urgot",73,4.12,61.64,10.96,116.43,7.5,25,Level7 Roll,Standard
Aatrox+Akali+Belveth+Caitlyn+Jinx+Kindred+Maokai+RekSai,"Aatrox,Akali,Belveth,Caitlyn,Jinx,Kindred,Maokai,RekSai",22,3.82,68.18,4.55,115.57,7.5,25,Level7 Roll,Standard
AurelionSol+Chogath+Galio+Jhin+Kaisa+Karma+Mordekaiser+Nunu+TahmKench,"AurelionSol,Chogath,Galio,Jhin,Kaisa,Karma,Mordekaiser,Nunu,TahmKench",31,3.87,61.29,9.68,114.65,7.5,25,Level7 Roll,Standard
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Rhaast+Riven+TahmKench,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Rhaast,Riven,TahmKench",20,3.85,55.0,20.0,114.0,7.5,25,Level7 Roll,Standard
Blitzcrank+Gwen+Nami+Nasus+Ornn+Pantheon+Samira+Shen+TahmKench,"Blitzcrank,Gwen,Nami,Nasus,Ornn,Pantheon,Samira,Shen,TahmKench",34,4.0,67.65,5.88,113.92,7.5,25,Level7 Roll,Standard
Bard+Blitzcrank+Illaoi+Karma+Mordekaiser+Nunu+Rhaast+Sona,"Bard,Blitzcrank,Illaoi,Karma,Mordekaiser,Nunu,Rhaast,Sona",139,4.45,48.92,7.91,113.73,7.5,25,Level7 Roll,Standard
Illaoi+Karma+Leblanc+Leona+Lissandra+Morgana+Rhaast+Sona,"Illaoi,Karma,Leblanc,Leona,Lissandra,Morgana,Rhaast,Sona",25,4.0,68.0,8.0,113.35,7.5,25,Level7 Roll,Standard
