comp,games,avg_place,top4_rate,win_rate
AurelionSol+Galio+Karma+Mordekaiser+Morgana+Nunu+Rhaast,25,4.4,56.00000000000001,8.0
Bard+Blitzcrank+Illaoi+IvernMinion+Karma+Leona+Mordekaiser+Morgana+Sona+Summon,22,4.409090909090909,54.54545454545454,9.090909090909092
Aatrox+Akali+Blitzcrank+Fiora+Morgana+Nunu+Rhaast+Shen+Vex,23,4.434782608695652,43.47826086956522,17.391304347826086
Aatrox+Akali+Blitzcrank+Fiora+Graves+Morgana+Nunu+Shen+Vex,497,4.450704225352113,49.49698189134809,15.492957746478872
Blitzcrank+Gwen+Nami+Nasus+Ornn+Samira+Shen+Teemo,21,4.476190476190476,42.857142857142854,9.523809523809524
Aatrox+Akali+Blitzcrank+Fiora+Graves+Morgana+Rhaast+Shen+Vex,52,4.576923076923077,48.07692307692308,15.384615384615385
Bard+Blitzcrank+Illaoi+IvernMinion+Karma+Leona+Mordekaiser+Rhaast+Sona+Summon,25,4.6,48.0,0.0
Bard+Blitzcrank+Illaoi+IvernMinion+Karma+Mordekaiser+Nunu+Rhaast+Sona+Summon,128,4.6328125,45.3125,6.25
Bard+Blitzcrank+Illaoi+IvernMinion+Karma+Mordekaiser+Morgana+Nunu+Sona+Summon,138,4.681159420289855,47.10144927536232,2.898550724637681
Aatrox+Blitzcrank+Jax+Maokai+Nunu+Rhaast+Samira+TahmKench+Xayah,22,4.7272727272727275,31.818181818181817,0.0
Chogath+Illaoi+Jhin+Kaisa+Karma+Lissandra+Mordekaiser+Pantheon,26,4.730769230769231,53.84615384615385,0.0
Aatrox+Jax+Jhin+Maokai+Mordekaiser+Morgana+Nunu+TahmKench+Xayah,22,4.7727272727272725,45.45454545454545,0.0
Bard+Blitzcrank+Illaoi+IvernMinion+Karma+Mordekaiser+Nunu+Sona+Summon+Viktor,27,4.777777777777778,48.148148148148145,0.0
Bard+Illaoi+IvernMinion+Karma+Leona+Mordekaiser+Nunu+Sona+Summon+Vex,57,4.842105263157895,40.35087719298245,3.508771929824561
Blitzcrank+Gwen+Morgana+Nami+Nasus+Ornn+Pantheon+Riven+TahmKench,22,4.863636363636363,45.45454545454545,0.0
Akali+Belveth+Gragas+Kindred+Maokai+MasterYi+Rhaast+TahmKench+Urgot,33,4.878787878787879,45.45454545454545,6.0606060606060606
Aatrox+Akali+Fiora+Graves+Maokai+Morgana+Shen+TahmKench+Vex,69,4.9855072463768115,36.231884057971016,5.797101449275362
Bard+Blitzcrank+Illaoi+IvernMinion+Karma+Leona+Mordekaiser+Nunu+Sona+Summon,32,5.03125,43.75,3.125
,53,5.056603773584905,47.16981132075472,20.754716981132077
Chogath+IvernMinion+Jhin+Kaisa+Karma+Lissandra+Mordekaiser+Pantheon,21,5.142857142857143,38.095238095238095,0.0
Akali+Belveth+Jinx+Kindred+Maokai+RekSai+Rhaast,63,5.2063492063492065,36.507936507936506,0.0
AurelionSol+Illaoi+IvernMinion+Karma+Leblanc+Leona+Mordekaiser+Nunu+Summon,46,5.217391304347826,32.608695652173914,0.0
Illaoi+IvernMinion+Karma+Leblanc+Leona+Lissandra+Morgana+Sona+Summon,22,5.2727272727272725,27.27272727272727,4.545454545454546
Akali+Belveth+Briar+Jinx+Maokai+RekSai+Rhaast,164,5.347560975609756,32.31707317073171,1.2195121951219512
Corki+Fizz+IvernMinion+Milio+Poppy+Rammus+Riven+Shen,23,5.3478260869565215,26.08695652173913,4.3478260869565215
Blitzcrank+Gwen+Nasus+Ornn+Ornn+Samira+Samira,24,5.375,29.166666666666668,0.0
Chogath+Illaoi+IvernMinion+Kaisa+Karma+Lissandra+Mordekaiser+Pantheon+Summon,42,5.380952380952381,23.809523809523807,0.0
Chogath+Ezreal+Jhin+Kaisa+Karma+Lissandra+Mordekaiser+Pantheon,31,5.419354838709677,29.03225806451613,3.225806451612903
Aatrox+Belveth+Maokai+MissFortune+Ornn+Rhaast+Urgot,222,5.472972972972973,30.180180180180184,1.3513513513513513
Aatrox+Caitlyn+Corki+Jax+Milio+Talon+TwistedFate,32,5.5,21.875,0.0
Akali+Belveth+Briar+Jinx+Kindred+Maokai+RekSai,173,5.526011560693641,25.43352601156069,0.5780346820809248
Blitzcrank+Gwen+Nami+Ornn+Pantheon+Riven+Shen+TahmKench,42,5.5476190476190474,26.190476190476193,0.0
Illaoi+IvernMinion+Karma+Leblanc+Leona+Mordekaiser+Nunu+Summon+Zoe,32,5.5625,21.875,0.0
AurelionSol+Blitzcrank+Illaoi+IvernMinion+Karma+Leblanc+Mordekaiser+Nunu+Summon,29,5.620689655172414,20.689655172413794,0.0
Illaoi+IvernMinion+Karma+Leblanc+Lissandra+Morgana+Nunu+Sona+Summon,48,5.625,31.25,2.083333333333333
AurelionSol+Fiora+Galio+Karma+Mordekaiser+TahmKench+Urgot,25,5.64,32.0,4.0
Belveth+Fiora+Gragas+Kindred+Maokai+MasterYi+TahmKench+Urgot,248,5.729838709677419,24.193548387096776,4.032258064516129
Illaoi+IvernMinion+Karma+Leblanc+Leona+Lissandra+Morgana+Summon+Teemo,24,5.791666666666667,20.833333333333336,0.0
Blitzcrank+Gwen+Nami+Nasus+Ornn+Samira+Teemo,24,5.791666666666667,25.0,0.0
AurelionSol+Blitzcrank+Illaoi+IvernMinion+Karma+Mordekaiser+Nunu+Sona+Summon,46,5.804347826086956,23.91304347826087,0.0
Illaoi+IvernMinion+Karma+Leblanc+Lissandra+Morgana+Nunu+Summon+Teemo,31,5.806451612903226,16.129032258064516,0.0
Corki+Fizz+Galio+IvernMinion+Milio+Poppy+Rammus+Riven,438,5.808219178082192,22.146118721461185,0.228310502283105
Aatrox+Jax+Lulu+Maokai+Milio+Pantheon+TwistedFate,597,5.855946398659967,21.775544388609717,0.8375209380234505
Aatrox+Akali+Belveth+Briar+Jinx+Maokai+RekSai,22,5.863636363636363,22.727272727272727,0.0
Blitzcrank+Nami+Nasus+Ornn+Ornn+Samira+Samira,118,5.898305084745763,18.64406779661017,0.0
Chogath+Ezreal+Kaisa+Maokai+Milio+Pantheon+Riven+TahmKench,21,5.904761904761905,14.285714285714285,4.761904761904762
Bard+Illaoi+IvernMinion+Lissandra+Mordekaiser+Poppy+Rammus+Summon+Veigar,53,5.90566037735849,13.20754716981132,3.7735849056603774
AurelionSol+Illaoi+IvernMinion+Karma+Leona+Mordekaiser+Nunu+Sona+Summon,24,5.916666666666667,29.166666666666668,0.0
Bard+IvernMinion+Karma+Lissandra+Poppy+Rammus+Sona+Summon+Veigar,21,5.9523809523809526,9.523809523809524,4.761904761904762
Aatrox+Diana+Kindred+Leblanc+Maokai+Morgana+Rammus+TahmKench,57,5.982456140350878,24.561403508771928,1.7543859649122806
