item,item_kr,icon_url,games,avg_place,top4_rate,win_rate,pick_rate,score,tier
OrnnInfinityForce,무한한 삼위일체,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft4_item_ornninfinityforce.tft_set13.tex,450,4.23,56.67,10.67,1.27,198.14,C
SummonTraitEmblemItem,길잡이 상징,https://raw.communitydragon.org/latest/assets/maps/particles/tft/item_icons/traits/spatula/set17/tft17_emblem_sheperd.tft_set17.tex,1169,4.42,51.58,10.52,3.29,197.89,C
LightshieldCrest,라이트실드 문장,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft_item_artifact_lightshieldcrest.tft_set13.tex,607,4.41,50.91,12.03,1.71,197.86,C
BlightingJewel,역병의 보석,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft_item_artifact_blightingjewel.tft_set13.tex,348,4.26,54.02,13.22,0.98,196.24,C
AssassinTraitEmblemItem,불한당 상징,https://raw.communitydragon.org/latest/assets/maps/particles/tft/item_icons/traits/spatula/set17/tft17_emblem_rogue.tft_set17.tex,1323,4.46,50.42,9.6,3.72,195.53,C
RabadonsDeathcapRadiant,찬란한 라바돈의 죽음모자,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft5_item_rabadonsdeathcapradiant.tft_set13.tex,253,4.12,59.68,15.42,0.71,195.27,C
RangedTraitEmblemItem,저격수 상징,https://raw.communitydragon.org/latest/assets/maps/particles/tft/item_icons/traits/spatula/set17/tft17_emblem_sniper.tft_set17.tex,997,4.49,49.75,15.65,2.81,194.68,C
Fishbones,생선대가리,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft_item_artifact_fishbones.tft_set13.tex,372,4.3,52.69,12.63,1.05,193.75,C
OrnnHorizonFocus,저격수의 집중,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft9_item_ornnhorizonfocus.tft_set13.tex,326,4.34,53.99,14.11,0.92,192.39,C
SorakaArtifact,소라카의 기적,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft17_item_artifact_sorakamiracle.tft_set17.tex,1031,4.53,50.15,11.45,2.9,191.99,C
ASTraitEmblemItem,도전자 상징,https://raw.communitydragon.org/latest/assets/maps/particles/tft/item_icons/traits/spatula/set17/tft17_emblem_challenger.tft_set17.tex,1185,4.53,49.87,10.8,3.33,191.95,C
NavoriFlickerblades,명멸검,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft_item_artifact_navoriflickerplade.tex,424,4.35,54.25,12.26,1.19,191.7,C
ShimmerscaleMogulsMail,거물의 갑옷,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft7_item_shimmerscalemogulsmail.tft_set13.tex,369,4.37,51.49,11.38,1.04,189.64,C
ThiefsGlovesRadiant,찬란한 도적의 장갑,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft5_item_thiefsglovesradiant.tft_set13.tex,236,4.22,55.51,13.98,0.66,188.71,C
SilvermereDawn,은빛 여명,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft_item_artifact_silvermeredawn.tft_set13.tex,399,4.4,51.88,13.28,1.12,188.67,C
PsyOpsEmblemItem,초능력 상징,https://raw.communitydragon.org/latest/assets/maps/particles/tft/item_icons/traits/spatula/set17/tft17_emblem_psyops.tft_set17.tex,1108,4.58,48.29,9.48,3.12,188.63,C
RapidFirecannonRadiant,찬란한 붉은 덩굴정령,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft5_item_rapidfirecannonradiant.tft_set13.tex,115,4.23,51.3,21.74,0.32,188.37,C
GiantSlayerRadiant,찬란한 거인 학살자,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft5_item_giantslayerradiant.tft_set13.tex,200,4.22,54.5,11.5,0.56,187.87,C
WarmogsArmorRadiant,찬란한 워모그의 갑옷,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft5_item_warmogsarmorradiant.tft_set13.tex,216,4.26,53.24,16.67,0.61,186.55,C
DeathbladeRadiant,찬란한 죽음의 검,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft5_item_deathbladeradiant.tft_set13.tex,192,4.27,52.6,16.67,0.54,185.83,C
NegatronCloak,음전자 망토,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft_item_negatroncloak.tft_set13.tex,1073,4.69,46.78,11.65,3.02,183.07,C
HellfireHatchet,지옥불 손도끼,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft_item_artifact_hellfirehatchet.tft_set16.tex,277,4.34,55.6,12.27,0.78,182.45,C
SparkingPrototype,불꽃 튀는 시제품,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft17_animasquaditem_sparkingprototype_t0.tft_set17.tex,577,4.71,46.45,14.21,1.62,181.93,C
OrnnHullbreaker,선체분쇄자,https://raw.communitydragon.org/latest/assets/maps/particles/tft/item_icons/ornn_items/tft9_ornnitem_hullbreaker.tex,338,4.52,49.7,8.88,0.95,181.07,C
Mittens,방한 장갑,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft_item_artifact_mittens.tft_set13.tex,293,4.37,54.95,12.97,0.82,180.91,C
ShimmerscaleGamblersBlade,도박꾼의 칼날,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft7_item_shimmerscalegamblersblade.tft_set13.tex,258,4.38,51.16,15.5,0.73,179.74,C
